"timestamp (UTC)","energyConsumption (kWh)"
"2024-01-25 00:30","0.199"
"2024-01-25 01:00","0.19"
"2024-01-25 01:30","0.151"
"2024-01-25 02:00","0.162"
"2024-01-25 02:30","0.169"
"2024-01-25 03:00","0.124"
"2024-01-25 03:30","0.17"
"2024-01-25 04:00","0.152"
"2024-01-25 04:30","0.144"
"2024-01-25 05:00","0.174"
"2024-01-25 05:30","0.16"
"2024-01-25 06:00","0.173"
"2024-01-25 06:30","0.184"
"2024-01-25 07:00","0.347"
"2024-01-25 07:30","0.284"
"2024-01-25 08:00","0.319"
"2024-01-25 08:30","0.303"
"2024-01-25 09:00","0.252"
"2024-01-25 09:30","0.235"
"2024-01-25 10:00","0.18"
"2024-01-25 10:30","0.191"
"2024-01-25 11:00","0.181"
"2024-01-25 11:30","0.168"
"2024-01-25 12:00","0.215"
"2024-01-25 12:30","0.19"
"2024-01-25 13:00","0.169"
"2024-01-25 13:30","0.19"
"2024-01-25 14:00","0.173"
"2024-01-25 14:30","0.152"
"2024-01-25 15:00","0.175"
"2024-01-25 15:30","0.16"
"2024-01-25 16:00","0.18"
"2024-01-25 16:30","0.175"
"2024-01-25 17:00","0.383"
"2024-01-25 17:30","0.317"
"2024-01-25 18:00","0.279"
"2024-01-25 18:30","0.342"
"2024-01-25 19:00","0.302"
"2024-01-25 19:30","0.573"
"2024-01-25 20:00","0.974"
"2024-01-25 20:30","0.928"
"2024-01-25 21:00","0.74"
"2024-01-25 21:30","0.309"
"2024-01-25 22:00","0.332"
"2024-01-25 22:30","0.345"
"2024-01-25 23:00","0.362"
"2024-01-25 23:30","0.344"
"2024-01-26 00:00","0.332"
